Argument ID,Worker ID,Premise,simplified_Value_lvl2_ann
A07083,W015,children have a right to education and ignorant parents that think they are more qualified than they are should not have tyranny over that right,"[0, 0, 0, 0, 0, 1, 0, 0]"
A07085,W015,surrogacy provides a family with a child and nothing is better than that,"[0, 0, 0, 0, 1, 0, 0, 0]"
A07087,W015,every individual should be able to choose whether or not they want to vote,"[0, 0, 0, 0, 1, 0, 1, 0]"
A07088,W015,"people have freedom of speech, and ignorance does not equal a criminal offense. if that was true, too many people would be criminals based on the amoint of ignorance out there.","[0, 0, 0, 0, 1, 0, 1, 0]"
A07094,W015,"we should abolish intellectual property rights to break to the barriers if innovation, barring people from building on and improving ideas is counter productive","[1, 0, 1, 0, 0, 0, 0, 0]"
A07096,W015,"yes ban it, if i wanted to buy something i would know where to look for it without being bothered with constant calls","[0, 0, 0, 0, 1, 0, 1, 0]"
A09001,W015,is leading to increased obesity and many health problems.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A09002,W015,"as a non-addictive natural substance that is less harmful than currently legal ones such as tobacco and alcohol, it seems that cannabis is still illegal simply due to old prejudices.","[0, 0, 0, 0, 0, 1, 0, 0]"
A09003,W015,we must not prohibit the use of child actors because it goes against the right to work. children under the supervision of their parents can develop their artistic talent without affecting their personal growth,"[0, 0, 0, 0, 1, 0, 1, 0]"
A09004,W015,fast food is great when you need a quick meal on the run and it is more nutritious than snacking on chocolate bars or unhealthy snacks.,"[0, 0, 0, 0, 1, 1, 1, 0]"
A09005,W015,"people should be allowed to join any club, cult, religious group they want.  the government should not have a say in what an individual wants to participate in.","[0, 0, 0, 0, 1, 0, 1, 0]"
A09006,W015,we shouldn't abolish the right to keep and bear arms because it can help stop mass shootings if everyone has a gun,"[1, 0, 1, 0, 0, 0, 0, 0]"
A09007,W015,"language changes cannot be legislated, they evolve spontaneously over time. if people want to use gender-neutral language, it will slowly become part of their vocabulary","[0, 0, 0, 0, 1, 0, 1, 0]"
A09009,W015,we should not legalize organ trade because then people would be selling their organs just for money,"[0, 1, 0, 0, 0, 0, 0, 0]"
A09011,W015,"Three strikes laws often punish those who have been pushed into crime by their socioeconomic background, which is unjust.","[1, 0, 0, 0, 0, 1, 0, 0]"
A09012,W015,we need to keep our country safe and protected,"[1, 0, 1, 0, 0, 0, 0, 0]"
A09013,W015,autonomous cars offer the opportunity for people  to spend more time on the things they enjoy doing during their commute rather than having to concentrate.,"[0, 0, 0, 0, 1, 0, 0, 0]"
A09014,W015,historically missionaries have interfered in an unhealthy way with other cultures and continue to do so.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A09015,W015,libertarianism doesn't account for obvious public needs that are better served through collective action rather than each individual competing for resources.,"[1, 0, 0, 1, 0, 0, 0, 0]"
A09017,W015,the church of scientology encourages the isolation of it's members. this may lead to some members essentially being help against their will.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A09019,W015,no matter how much suffering we have in life nothing justifies death in the same way i think that a sick person is not in the capacity of whether he wants to live or not,"[1, 0, 0, 0, 0, 0, 0, 0]"
A09021,W015,providing subsidies would allow more money to be spent on the editing process thus making wikepedia a more reliable source of information,"[1, 0, 0, 0, 0, 0, 0, 0]"
A09022,W015,safe spaces only shield people from the realities of the world and thus leave them unprepared.,"[1, 0, 0, 0, 1, 0, 1, 0]"
A09023,W015,"the world of acting is a high pressure, extremely stressful place and children should be protected from it.","[0, 1, 0, 0, 0, 1, 0, 0]"
A09024,W015,"if people can get food and other products from whaling that helps sustain them, then it shouldn't be banned.","[0, 0, 0, 1, 0, 0, 0, 0]"
A09025,W015,it's the only way most people can afford college,"[0, 0, 1, 0, 0, 0, 0, 0]"
A09026,W015,intellectual property rights enable people to benefit from what they worked so hard to achieve.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A09027,W015,we should not adopt an austerity regime because people would end up with less money to pay the same amount of bills with.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A09028,W015,many people do not feel comfortable with their gender and feel offended when we use inappropriate words,"[0, 0, 0, 0, 0, 1, 0, 0]"
A09030,W015,people need to grow up and realise the world is a hard place,"[0, 0, 0, 0, 1, 0, 0, 0]"
A09031,W015,Legalizing prostitution would make the profession less dangerous and less hazardous to one's health.,"[0, 1, 1, 0, 0, 0, 0, 0]"
A09034,W015,homeopathy often gives people hope to cure some illnesses that will never be cured without modern medicine.,"[0, 1, 0, 0, 0, 0, 1, 0]"
A09035,W015,The Olympic games provides jobs and is a boost for the economy in the host country.,"[1, 0, 0, 1, 0, 0, 0, 0]"
A09038,W015,we should introduce compulsory voting as all citizens need to have their voices heard to make the outcomes of elections more credible and truly representative of the whole population.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A09039,W015,we should not ban missionary work because people have a right to help out others if they chose to do so,"[1, 0, 0, 0, 1, 0, 0, 0]"
A09041,W015,The use of public defenders should be mandatory because it would end the two-tier system where some people get excellent private defenders and some get low quality public defenders.,"[1, 0, 0, 0, 0, 1, 0, 0]"
A09042,W015,"the zero-tolerance policy is not a good thing at all , kids getting punished for their actions and humiliated in front of a audience is really not the great thing to do.","[0, 1, 0, 0, 0, 0, 0, 0]"
A09043,W015,economic sanctions hurt the poorest people of a nation,"[0, 0, 0, 0, 0, 1, 0, 0]"
A09045,W015,economic sanctions can be very effective in bringing about social change,"[1, 0, 0, 0, 0, 0, 0, 0]"
A09046,W015,mandatory retirement should be ended as it is unfair on older people.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A09048,W015,"In multi-party systems, there are many types of ideologies - as opposed to two-party systems, where the nation is not divided into two rival groups.","[0, 0, 1, 0, 0, 0, 1, 0]"
A09051,W015,recent dna evidence have proved that some death penalty inmates to be innocent. executing one innocent person is an enough proof that the capital punishment should be abolished.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A09053,W015,autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy.  it can also eliminate road rage.,"[0, 0, 1, 1, 0, 0, 0, 0]"
A09059,W015,clergy should have the option to marry and have a family like everyone else,"[0, 0, 0, 0, 1, 0, 1, 0]"
A09062,W015,college is getting more and more expensive each year so students should be getting as much help as they need,"[1, 0, 1, 0, 0, 0, 0, 0]"
A09064,W015,abolishing the three strikes law would save money,"[0, 0, 1, 0, 0, 0, 0, 0]"
A09066,W015,iq tests are great for determining how smart a person is.   this not only helps with getting into colleges and jobs but a person with a low iq can show that they are a prime candidate for public assistance.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A09068,W015,people have the right to think what they'd like.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A09070,W015,they serve as a deterant for any rogue dictator to strike an enemy,"[1, 0, 0, 0, 0, 0, 0, 0]"
A09076,W015,Cosmetic surgery is important to repair damaged skin or member of people involved in an accident. This will help them regain confidence and live their life fully,"[1, 0, 0, 1, 0, 0, 0, 0]"
A09077,W015,sex selection can lead to an over abundance of a favored gender in society,"[1, 0, 1, 0, 0, 1, 0, 0]"
A09079,W015,a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.,"[0, 0, 1, 0, 0, 1, 0, 0]"
A09080,W015,pride parades are a platforms for minority groups to spread awareness about discrimination and abuse,"[1, 0, 0, 0, 0, 0, 1, 0]"
A09083,W015,"telemarketing preys on people who are vulnerable and easily conned, such as the elderly.","[0, 0, 1, 0, 0, 0, 0, 0]"
A09084,W015,ending the blockade of the gaza strip will only serve to destabilize the region further.,"[1, 0, 1, 0, 0, 0, 0, 0]"
A09086,W015,algorithmic trading provides people with more opportunities when it comes to trading.,"[0, 0, 0, 0, 1, 0, 0, 0]"
A09087,W015,entrapment convinces people to commit a crime when they normally wouldn't and should not be legal.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A09088,W015,"vocational education is necessary to ensure that there is not a shortage of qualified trades people in the future, and a subsidy will make this a much more attractive option when deciding a career path.","[1, 0, 1, 1, 0, 0, 0, 0]"
A09089,W015,legalizing organ trade would being about more healthy organs and tissue for transplanting then currently is available.,"[1, 1, 0, 0, 0, 0, 0, 0]"
A09090,W015,these payday loan places prey on poor people and situations where they can charge more.,"[0, 0, 1, 0, 0, 1, 0, 0]"
A09091,W015,living within one's fiscal means is important,"[0, 0, 1, 0, 0, 0, 0, 0]"
A09092,W015,Surrogacy is the only way that some couples will ever be able to have a child.,"[1, 0, 0, 0, 1, 0, 0, 0]"
A09094,W015,we should adopt libertarianism because it cause less outside interference in your personal life,"[0, 1, 0, 0, 0, 0, 0, 0]"
A09096,W015,space exploration is a waste of money that could be used to feed people,"[1, 0, 0, 1, 0, 0, 0, 0]"
A09097,W015,people have a right to be able to defend themselves  and their loved ones,"[1, 0, 0, 0, 1, 0, 0, 0]"
A09098,W015,it is really just another name for assassination,"[0, 0, 1, 0, 0, 1, 0, 1]"
A09100,W015,targeted killing is like hiring a hitman except the government gets away with it.,"[0, 0, 0, 0, 0, 1, 0, 1]"
A12016,W015,"mandatory retirement creates employment opportunities for the younger generation of workers, who would otherwise be increasingly shunted out.","[1, 0, 0, 0, 0, 0, 0, 0]"
A12017,W015,"the blockade prevents free access to the citizens, preventing necessary aid to the people, causing dire living conditions and severe economic detriments.","[0, 0, 1, 1, 0, 0, 0, 0]"
A12038,W015,Zoos are too small and do not provide animals with the space and habitat that they are born to.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12039,W015,we are exploiting the youth purely for entertainment,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12040,W015,"results from homeschooling children are equally as good as those achieved from state schools, and sometimes this can be the only option for a youngster with complex emotional needs.","[1, 0, 0, 1, 0, 1, 0, 0]"
A12041,W015,the vow of celibacy is an ancient law that is a cruel requirement  defying a natural part of a human's life and often deters people from entering certain professions and this should be abandoned.,"[1, 0, 0, 0, 0, 1, 0, 0]"
A12045,W015,people have the right to hire an attorney they can trust that will do a very thorough job and defend them in this process.   public defenders might not hold the best skills to defend a person in court.,"[1, 0, 0, 0, 0, 0, 1, 1]"
A12102,W015,cosmetic surgery has too many risks of something going wrong compared to the benefit of looking more aesthetically pleasing.,"[0, 1, 0, 0, 1, 0, 0, 0]"
A12104,W015,we shouldn't ban the church of scientology because it is a way to study the nature of life,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12106,W015,child actors should be allowed to work and contribute their talents to society.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12108,W015,homeschooling may not be covering core topics or at least not to an adequate level,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12109,W015,libertarianism removes the big brother tyranny of big government and allows more freedom for the people,"[0, 0, 0, 0, 1, 0, 1, 0]"
A12111,W015,algorithmic trading is cost effective because it is timely and accurate.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12113,W015,"every one has the right to choose what they want to do with their bodies, it isn't in our place to decide if cosmetic surgery is bad for minors.","[0, 0, 0, 0, 1, 0, 1, 0]"
A12115,W015,collectivism takes care of an entire group's need vs just one persons.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12116,W015,The Highway Loss Data Institute found an increased collision and crash risk in legal marijuana states,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12117,W015,"It would help people spend less money, which would be good for the economy.","[0, 0, 1, 0, 0, 0, 0, 0]"
A12118,W015,nuclear weapons are very volatile and should be done away with.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12119,W015,"Selling organs is dangerous, leading to many deaths on the operating table.","[0, 1, 0, 0, 0, 0, 0, 0]"
A12121,W015,allowing sex selection could lead to an imbalance of the genders in the population.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12123,W015,everyone needs a place where they can be accepted without judgment.,"[1, 0, 0, 1, 0, 1, 0, 0]"
A12124,W015,economic sanctions work as intended and getting rid of them would make it more difficult to punish offending countries.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12125,W015,the blockade is a way to try to get hamas to stop fire rockets into israel,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12128,W015,intellectual property rights should be abolished since it doesn't allow the sharing of ideas,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12129,W015,"prostitution is linked to many rapes, molestation and murders of young women.","[0, 0, 1, 0, 0, 1, 0, 0]"
A12130,W015,it might lead to innocent people who couldn't resist temptation being prosecuted and sentenced.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12156,W015,autonomous cars would help people who are disabled be able to have their own transportation.,"[1, 0, 0, 0, 1, 0, 0, 0]"
A12181,W015,"We should abolish safe spaces because they put public funding for universities at risk, due to backlash from right wing legislatures.","[0, 0, 1, 0, 0, 0, 0, 0]"
A12183,W015,collectivism removes an individual's right to promote their private interests and exercise autonomy,"[0, 0, 0, 0, 1, 0, 1, 0]"
A12184,W015,if prostitution was legal then the people would be able to be better protected and diseases could be controlled more.,"[1, 1, 0, 0, 0, 0, 0, 0]"
A12196,W015,subsidies for vocational education would help solve the problem of skills shortages in many trades,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12197,W015,"with the sexual revolution, the vow of celibacy is outdated and has little value in today's society.","[0, 0, 1, 0, 1, 0, 1, 0]"
A12198,W015,surrogacy allows people to have the family they have always wanted. it isn't someone's fault they cannot reproduce and if they want to become a parent it is a good option.,"[0, 0, 0, 0, 1, 1, 1, 0]"
A12199,W015,"people are entitled to believe in any god that they choose to believe in. as religion offers comfort, aatheism should not be adopted.","[0, 0, 0, 0, 0, 0, 1, 1]"
A12200,W015,is absolutely mandatory for all governments to subsidize vocation education as a help for people who trying to gain some qualification for the jobs.,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12211,W015,Entrapment should not be legalized as it is an unfair way of dealing with people and puts them into false situations.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12212,W015,fast food is known to contain unhealthy fats and no necessary nutrients,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12213,W015,collectivism doesn't allow people to stand up on their own for what they believe in,"[0, 0, 0, 0, 1, 0, 1, 0]"
A12214,W015,"social media is used to collect money for the needy, connect friends, and organize group events.","[1, 0, 0, 0, 0, 0, 0, 0]"
A12215,W015,zoos force animals into an existence outside of their natural habitat for our viewing pleasure.  it is not right to subject them to such an environment.,"[1, 0, 0, 0, 0, 1, 0, 0]"
A12216,W015,"judicial activism can highlight wrong legislation, or deliver accurate justice that cannot be addressed through the existing laws","[1, 0, 0, 0, 0, 1, 0, 0]"
A12217,W015,Cosmetic surgery promotes a capitalistic society that focuses on solving problems with money rather than personal acceptance.,"[0, 0, 1, 0, 1, 0, 0, 0]"
A12218,W015,zero-tolerance policies are helpful as they stop children misbehaving,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12220,W015,people should be allowed to die with dignity if they choose to.,"[0, 0, 0, 0, 0, 0, 1, 0]"
A12221,W015,we should ban whaling because there is very little profit in the business and does nothing but kill fairly rare animals.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12222,W015,too many choices in political parties separates people in a country instead of helping them to unite.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12223,W015,we should not adopt gender-neutral language because no reason to change the way people have been speaking for hundreds of years,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12225,W015,foster care gives kids who would otherwise not have any parental figures in their lives have a chance at a somewhat normal life.,"[0, 0, 0, 0, 1, 0, 0, 0]"
A12226,W015,"cannabis is no more harmful than cigarettes or alcohol, and no more addictive than the two.","[0, 0, 0, 0, 0, 1, 0, 0]"
A12227,W015,"It's bad enough having to take out a student loan in the first place, but even more students from poorer backgrounds will be reluctant to go into higher education if their student loans aren't subsidized.","[1, 0, 1, 0, 0, 0, 0, 0]"
A12228,W015,autonomous cars will reduce the human margin of error to near zero and make for a safer commute.,"[1, 0, 0, 1, 0, 0, 0, 0]"
A12230,W015,telemarketing targets the weak and encourages them to buy what they can't afford.,"[0, 0, 0, 1, 0, 0, 1, 0]"
A12251,W015,"Adolescents can be very self-conscious about their appearance. If a student thinks their uniform is unflattering, it may cause them discomfort and embarrassment.","[0, 0, 0, 1, 0, 0, 0, 0]"
A12253,W015,we should not ban private military companies because they protect people,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12254,W015,People have the right to free speech even if their perspectives are vile and abhorrent. This means the state can't criminalize holocaust denial.,"[0, 0, 0, 0, 1, 0, 1, 0]"
A12258,W015,the olympic games are too expensive to be held,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12259,W015,whaling should be banned because it harms economic activity that's generated by whale watching,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12267,W015,"when people are suffering, it is unfair to force them to continue to do so.  if someone can assist them in ending the suffering, they should be able to.","[0, 0, 0, 0, 1, 1, 0, 0]"
A12268,W015,gender-neutral language will cause confusion if we don't know who is being referred to,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12273,W015,some people do not feel capable of exercising such a responsibility,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12275,W015,zoos trap animals into a meaningless life only to amuse human onlookers,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12276,W015,cosmetic surgery is dangerous and should be banned.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12278,W015,we would end up in bidding wars where only the rich could be helped,"[1, 0, 0, 0, 0, 1, 0, 0]"
A12280,W015,international bodies demanding an end to the blockade are dismissing israel's sovereignty.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12283,W015,we should limit executive compensation for national ecomics,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12285,W015,collectivism is unfair to large populations and should be stopped,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12286,W015,CEO's make 100 times what an average worker make and they do not actually generate any capital.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12287,W015,"turn out figures are unacceptably low, we need to motivate people to be active voters for a representative democracy","[1, 0, 0, 0, 0, 0, 0, 0]"
A12288,W015,we should ban algorithmic trading because most people have no idea how it works and if it is good for them or not,"[0, 0, 0, 0, 0, 0, 1, 0]"
A12289,W015,zoos aren't all properly regulated and some animals are kept in appalling conditions they should be left in their natural environment,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12290,W015,"when a person is entrapped, it is because they pose a danger to the community hence the need for it.","[0, 0, 1, 0, 0, 0, 0, 0]"
A12307,W015,it costs too much to build for the games and never use those buildings again,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12309,W015,entrapment is an unjust form of capturing criminals as it is tempting someone to do something wrong,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12310,W015,"libertarianism promotes political freedom of choice as its core value, and is the ultimate expression of democracy.","[0, 0, 0, 0, 1, 0, 1, 0]"
A12312,W015,missionary work should be banned as it can be abused and vulnerable people can be taken advantage of,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12313,W015,The blockade hurts Palestinian civilians that have nothing to do with Hamas and violence against Israel. It is unjust to punish civilians for the actions of terrorists.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12314,W015,people should be able to go to school and better themselves without having to pay back thousands of dollars when they graduate.,"[0, 0, 1, 0, 0, 0, 1, 0]"
A12315,W015,as americans we are granted the right of due process. sometimes there are extenuating circumstances that must be taken into account.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12321,W015,intelligence tests unfairly punish intelligent people who are not good test takers.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12322,W015,"we should not place any restrictions on freedom of speech, many of the restrictions are arbitrary and unnecessary such as the ""gingerbread man"" becoming the ""gingerbread person""","[0, 0, 0, 0, 1, 0, 1, 0]"
A12341,W015,surrogacy can help lgbt couple have children.,"[1, 0, 0, 0, 1, 0, 0, 0]"
A12343,W015,plastic surgery can cause many complications and infections and does not address the underlying self esteem issues of the patient,"[0, 1, 0, 0, 1, 0, 0, 0]"
A12345,W015,whaling is wiping out species for little in return.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12346,W015,people should be  free to worship who they want religion can instill good values and morals into people,"[0, 0, 0, 0, 0, 0, 1, 1]"
A12348,W015,subsidizing journalism could raise questions about bias and editorial independence.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12349,W015,safe spaces are necessary so that traditionally marginalised groups can interact freely without fear of harm and oppression.,"[1, 0, 0, 0, 1, 0, 1, 0]"
A12356,W015,all schools should adopt a zero-tolerance policy as kids need to know they can not act inappropriately at any given moment when in school.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12357,W015,a multiparty system blurs the citizenship of a vision and model of country. we should not adopt a multiparty system because it would waste valuable time to agree,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12358,W015,"If capital punishment is unfairly applied we should focus on fixing that, not abolishing it entirely.","[1, 0, 0, 0, 0, 0, 0, 0]"
A12359,W015,celibacy is needed to connect people on a mental plane rather than purely physical,"[0, 0, 0, 0, 0, 0, 0, 1]"
A12366,W015,"Right now people can essentially pay their way out of jail by hiring a fancy lawyer, if everyone has to use public defenders the rich and poor will be on a more even playing field.","[1, 0, 0, 0, 0, 1, 0, 0]"
A12367,W015,"surrogacy is hugely emotionally damaging on the birth mother, and is often only resorted to as a result of financial hardship.","[0, 1, 0, 0, 0, 0, 0, 0]"
A12368,W015,"We should not adopt libertarianism because people's lives are better when they know they have a social safety net to fall back on, and that they won't starve if they lose their job.","[0, 0, 1, 1, 0, 0, 0, 0]"
A12369,W015,subsidizing journalism would bring more accurate reporting because it would allow for the hiring of more qualified reporters.,"[1, 0, 0, 0, 0, 0, 0, 1]"
A12370,W015,surrogacy should be banned as it is put too much emotional drain on the individuals with high expectations that may or may not be possible to deliver.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12381,W015,it could become partial to whoever pays,"[0, 0, 0, 0, 0, 0, 1, 0]"
A12382,W015,Television contributes to the obesity epidemic because people spend far too much time inside in front of  the tv being inactive.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12383,W015,targeted killing may help avoiding terrorists attacks and is a very useful thing,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12384,W015,we shouldn't subsidize vocational education because it should be up to each individual to support themselves for the career route they want to pursue,"[0, 0, 0, 0, 0, 0, 0, 1]"
A12385,W015,"Three strikes laws reduce the power of judges and discretion in the court room, making judgments shallower.","[0, 0, 0, 0, 0, 0, 1, 0]"
A12386,W015,economic sanctions can help force countries to provide better treatment for the common people of that country.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12387,W015,the three strike law prohibits reform of offenders.,"[0, 1, 1, 0, 1, 0, 0, 0]"
A12389,W015,embryonic stem cell research  can lead to new cures for diseases.,"[1, 1, 0, 0, 0, 0, 0, 0]"
A12392,W015,economic sanctions can help control financial situations,"[1, 0, 0, 1, 0, 0, 0, 0]"
A12393,W015,"libertarianism would be a huge mistake, especially for the poor in our nation.","[1, 0, 0, 0, 0, 0, 0, 0]"
A12398,W015,economic sanctions do help western countries to  avoid the spread of terrorism.,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12399,W015,we need to abandon tv as it is outdated and there are other venues that provide better entertainment,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12400,W015,the countries regular citizens are the ones who are hurt the most by sanctions.,"[0, 0, 1, 0, 0, 1, 0, 0]"
A12401,W015,we should not ban missionary work because if people want to help out others that is their business and no one elses,"[1, 0, 0, 0, 1, 0, 1, 0]"
A12402,W015,"celibacy is an unnatural state; when sex drive is repressed, it can manifest in dangerous ways.","[1, 1, 0, 0, 0, 0, 0, 0]"
A12403,W015,we should ban the church of scientology as many ex-members report manipulation and bullying and it has been reported to be a cult which has seperated families.,"[0, 0, 0, 0, 1, 1, 0, 0]"
A12404,W015,telemarketing is a job for some and banning it would take jobs away.,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12405,W015,we should subsidize space exploration because someday we may have to leave earth behind once we deplete all our resources or because of a nuclear war.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12411,W015,it is a simplified method of finding people who's criminal bahaviour may otherwise often fly under the radar for a very long time.,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12412,W015,there is nothing that can come from space research that will help the country so why waste so much money?,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12413,W015,the school uniform generates in the student respect and adherence to the rules. eliminating the use of school uniform goes against the establishment of routine and responsibility towards the institution,"[0, 1, 0, 0, 0, 0, 0, 1]"
A12421,W015,payday loans do more harm than good because pushing people to their bandories which usually result in family disaster.,"[0, 0, 0, 0, 1, 0, 0, 0]"
A12425,W015,autonomous cars leave both passengers and pedestrians vulnerable to malicious hacking which could cause wide scale destruction.,"[0, 0, 1, 1, 0, 0, 0, 0]"
A12428,W015,uniforms allow students to look the same and not have to follow the fashion while at school,"[0, 0, 1, 1, 0, 0, 0, 0]"
A12429,W015,"Foster children do not always get proper medical care. Foster kids are covered medically under Medicaid but each year, fewer and fewer healthcare providers accept Medicaid.","[0, 1, 0, 1, 0, 0, 0, 0]"
A12430,W015,Adopting atheism takes away the freedom of worship that people are promised in this country.,"[0, 1, 0, 0, 1, 1, 1, 0]"
A12462,W015,"zoos maintain animals in unnatural, cramped conditions - they are exploited for the benefit of a paying public, with little concern about their happiness of welfare.","[1, 0, 0, 0, 0, 0, 0, 0]"
A12463,W015,television is a healthy means of escape from every day stress for millions of people.,"[0, 1, 0, 0, 0, 0, 0, 0]"
A12465,W015,Intelligence tests bring more harm than good because they undermine self esteem for children with lower scores than their classmates.,"[1, 0, 0, 0, 0, 1, 0, 0]"
A12466,W015,they have high interest and short repayment dates and people may find themselves even in greater debt,"[0, 0, 1, 0, 0, 1, 0, 0]"
A12467,W015,it would make people who are gender challenged feel better.,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12468,W015,everyone should have the right to keep and bear arms for protection,"[1, 0, 1, 0, 0, 0, 0, 0]"
A12469,W015,embryonic stem cell research is an advanced medicine progress that should not be stopped,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12470,W015,"human cloning can provide a way for science to overcome negative qualities in humans, such as birth defects, so overall it is a positive technology that should be allowed to flourish.","[1, 0, 0, 0, 0, 0, 0, 0]"
A12476,W015,killing someone is never okay even if they are a killer.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12477,W015,"the blockade has continued for far too long, and is preventing innocent people from obtaining the aid that they desperately need","[0, 0, 1, 1, 0, 1, 0, 0]"
A12479,W015,without intellection property rights there is no incentive to research and develop new products,"[0, 0, 1, 0, 0, 0, 0, 0]"
A12480,W015,homeopathy does not bring more harm than good because it is alternative medicine and some people believe that it is helpful in curing people,"[1, 0, 0, 0, 0, 0, 1, 0]"
A12481,W015,telemarketing can harm vulnerable people who are less able to say no.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A12482,W015,targeted killing is often the only way to get to the enemy.,"[1, 0, 0, 0, 0, 0, 0, 0]"
A12483,W015,"vocational education has previously been an area for the better off, so subsidising it would open vocational studies to everyone regardless of income.","[1, 0, 0, 1, 0, 0, 0, 0]"
A12492,W015,fast food shouldn't be banned because it helps people save times,"[0, 0, 0, 1, 0, 0, 0, 0]"
A12493,W015,sex selection should not be legalized as it is unethical,"[0, 0, 0, 0, 0, 1, 0, 0]"
A17006,W015,it is just another way for lazy people to do as little as possible.,"[0, 1, 0, 0, 0, 0, 0, 1]"
A17007,W015,"autonomous cars reduce the risk of human error, thus leading to safer roads.","[0, 0, 1, 0, 0, 0, 0, 0]"
A17008,W015,autonomous cars can help transport those unable to drive themselves,"[0, 0, 0, 1, 0, 0, 0, 0]"
A17009,W015,libertarianism allows people to make their own choices without government interference.,"[0, 0, 0, 0, 1, 0, 1, 0]"
A17010,W015,"we should abandon television it projects dangerous norms of beauty and success, and time can be better spent not looking at a screen","[0, 0, 0, 0, 0, 0, 1, 0]"
A18031,W015,homeschooling does not give a child time away from home,"[0, 0, 0, 0, 1, 0, 0, 0]"
A18032,W015,algorithmic trading gives people an unfair advantage because they can trade so much more quickly and therefore it should be banned.,"[0, 0, 0, 0, 0, 1, 0, 0]"
A18033,W015,"animals deserve to be in the wild, with access to large open spaces not available at a zoo.","[1, 0, 0, 0, 0, 0, 0, 0]"
